,open,close,high,low,volume
2014-01-02,23.6609629697,23.670141,23.697674173,23.3764421956,31833300.0
2014-01-03,23.7343872423,23.660963,23.7710984457,23.495757537,27796700.0
2014-01-06,23.6517848665,23.367265,23.6701418455,23.358088805,28682300.0
2014-01-07,23.4406907654,23.48658,23.6150724267,23.3764427164,19665100.0
2014-01-08,23.5324697263,23.339732,23.596715941,23.2204166835,29680500.0
2014-01-09,23.3305542564,23.229595,23.4498677388,23.1745277331,20878000.0
2014-01-10,23.4039769916,23.431512,23.7252080484,23.4039769916,30588800.0
2014-01-13,23.5232914798,23.403978,23.8537014988,23.3305537553,40274500.0
2014-01-14,23.8720574723,24.330959,24.3676702044,23.7710991362,74142900.0
2014-01-15,24.5236962341,24.477807,24.8908192845,24.4227397356,58277700.0
2014-01-16,24.4502724699,24.358494,24.5420536932,24.1657544406,48960800.0
2014-01-17,23.2754864203,23.725209,23.7343879484,23.1745271663,111758900.0
2014-01-21,23.6701415274,23.48658,23.6793177223,23.1928830246,42286400.0
2014-01-22,23.3030192463,23.229595,23.4406915437,23.0827474252,48749900.0
2014-01-23,23.1011030402,23.06439,23.1745272851,22.8532962138,40241000.0
2014-01-24,22.8349392142,22.770693,23.1194599984,22.7523387744,34838700.0
2014-01-27,22.7339820714,22.688091,22.935898747,22.6330237335,32564900.0
2014-01-28,22.6789125023,22.853296,22.99096554,22.5504209928,32453800.0
2014-01-29,22.7156262156,22.65138,22.9083639444,22.6054889282,27145700.0
2014-01-30,22.7156250303,22.706447,22.8441165369,22.5228873115,24610100.0
2014-01-31,22.4402857246,22.522888,22.6238454188,22.3943946539,28623300.0
2014-02-03,22.4861747605,21.981384,22.495352791,21.9263139813,52868200.0
2014-02-04,22.0180945139,21.862068,22.0639855828,21.6417952746,50816300.0
2014-02-05,21.9593568449,21.792576,22.0149492245,21.774044898,32476200.0
2014-02-06,21.8667005085,22.228057,22.3114469596,21.8203718267,28008400.0
2014-02-07,22.4226343021,22.431898,22.4782266815,22.0242146834,30808400.0
2014-02-10,22.3392440843,22.506024,22.580148407,22.2929144768,24571300.0
2014-02-11,22.5616173115,22.672803,22.7191316828,22.543086209,17911700.0
2014-02-12,22.7098657222,22.746927,22.8766465684,22.5801489335,25874100.0
2014-02-13,22.6357411953,22.885912,22.9229732776,22.5245536563,22922000.0
2014-02-14,22.774724084,22.941504,22.941504,22.6172097189,20539700.0
2014-02-18,22.858114042,22.941504,22.9600360283,22.7469265048,17738100.0
2014-02-19,22.8395832653,22.7006,22.9044411959,22.6264755918,25686000.0
2014-02-20,22.737662908,22.922973,23.0248940602,22.7005997777,20193800.0
2014-02-21,23.1175511395,22.626476,23.1268148376,22.5616171417,30579800.0
2014-02-24,22.7098653155,22.821051,23.0526897731,22.6172098062,24145500.0
2014-02-25,22.8581138275,22.811787,22.8951751041,22.6635363341,21539100.0
2014-02-26,22.9229736195,22.978566,23.1453468478,22.8025223807,19820200.0
2014-02-27,22.978565277,22.941504,22.978565277,22.7098652278,20863900.0
2014-02-28,22.9693015792,22.941504,23.024893958,22.7654585331,23482700.0
